Barangay,Date,Year,Month,Record_Type,Value
Addition Hills,2022-06-30,2022,7,actual,0.000000
Addition Hills,2022-06-30,2022,7,fitted,0.326747
Addition Hills,2022-06-30,2022,7,moving_avg_6,0.333333
Addition Hills,2022-07-31,2022,8,actual,0.000000
Addition Hills,2022-07-31,2022,8,fitted,0.298761
Addition Hills,2022-07-31,2022,8,moving_avg_6,0.333333
Addition Hills,2022-08-31,2022,9,actual,0.000000
Addition Hills,2022-08-31,2022,9,fitted,0.271183
Addition Hills,2022-08-31,2022,9,moving_avg_6,0.000000
Addition Hills,2022-09-30,2022,10,actual,0.000000
Addition Hills,2022-09-30,2022,10,fitted,0.178898
Addition Hills,2022-09-30,2022,10,moving_avg_6,0.000000
Addition Hills,2022-10-31,2022,11,actual,0.000000
Addition Hills,2022-10-31,2022,11,fitted,0.168714
Addition Hills,2022-10-31,2022,11,moving_avg_6,0.000000
Addition Hills,2022-11-30,2022,12,actual,2.000000
Addition Hills,2022-11-30,2022,12,fitted,0.220167
Addition Hills,2022-11-30,2022,12,moving_avg_6,0.333333
Addition Hills,2022-12-31,2023,1,actual,2.000000
Addition Hills,2022-12-31,2023,1,fitted,0.313411
Addition Hills,2022-12-31,2023,1,moving_avg_6,0.666667
Addition Hills,2023-01-31,2023,2,actual,0.000000
Addition Hills,2023-01-31,2023,2,fitted,0.543096
Addition Hills,2023-01-31,2023,2,moving_avg_6,0.666667
Addition Hills,2023-02-28,2023,3,actual,2.000000
Addition Hills,2023-02-28,2023,3,fitted,0.235374
Addition Hills,2023-02-28,2023,3,moving_avg_6,1.000000
Addition Hills,2023-03-31,2023,4,actual,0.000000
Addition Hills,2023-03-31,2023,4,fitted,0.604670
Addition Hills,2023-03-31,2023,4,moving_avg_6,1.000000
Addition Hills,2023-04-30,2023,5,actual,0.000000
Addition Hills,2023-04-30,2023,5,fitted,0.395642
Addition Hills,2023-04-30,2023,5,moving_avg_6,1.000000
Addition Hills,2023-05-31,2023,6,actual,1.000000
Addition Hills,2023-05-31,2023,6,fitted,0.358230
Addition Hills,2023-05-31,2023,6,moving_avg_6,0.833333
Addition Hills,2023-06-30,2023,7,actual,3.000000
