Barangay,Year,Month,Date,Predicted_Cases,Lower_Bound,Upper_Bound,Risk_Level,Model_Used
Buayang Bato,2026,6,2026-06-01,0.049405,-0.382629,0.783774,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,7,2026-07-01,0.050850,-0.382413,0.788067,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,8,2026-08-01,0.049387,-0.383944,0.787521,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,9,2026-09-01,0.049521,-0.384495,0.789579,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Buayang Bato,2026,10,2026-10-01,0.049509,-0.385133,0.791395,Very Low,SARIMAX(1, 1, 1)(1, 0, 1, 12)
Burol,2025,10,2025-10-01,-0.000082,-0.288623,0.405495,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2025,11,2025-11-01,-0.000077,-0.288620,0.405501,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2025,12,2025-12-01,-0.000073,-0.288617,0.405507,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,1,2026-01-01,-0.000069,-0.288614,0.405513,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,2,2026-02-01,-0.000065,-0.288611,0.405519,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,3,2026-03-01,-0.000061,-0.288608,0.405524,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,4,2026-04-01,-0.000053,-0.288603,0.405535,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,5,2026-05-01,-0.000054,-0.288603,0.405534,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,6,2026-06-01,-0.000052,-0.288602,0.405537,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,7,2026-07-01,-0.000049,-0.288600,0.405541,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,8,2026-08-01,-0.000045,-0.288597,0.405547,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,9,2026-09-01,-0.000018,-0.288578,0.405585,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Burol,2026,10,2026-10-01,-0.000042,-0.288595,0.405551,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2025,10,2025-10-01,0.067362,-0.340938,0.728610,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
Daang Bakal,2025,11,2025-11-01,0.068482,-0.340242,0.730411,Very Low,SARIMAX(1, 0, 1)(1, 0, 1, 12)
