id,barangay_name,month,year,predicted_cases,lower_bound,upper_bound,risk_level,risk_flag,created_at,updated_at,model_used,confidence_interval
4430,"Burol",9,2026,"0","0","0.406","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 0, 1)x(1, 0, 1, 12)",95
4431,"Daang Bakal",10,2025,"0.143","0","0.554","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4433,"Daang Bakal",12,2025,"0.078","0","0.725","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4434,"Daang Bakal",1,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4435,"Daang Bakal",2,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4436,"Daang Bakal",3,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4437,"Daang Bakal",4,2026,"0.074","0","0.719","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4438,"Daang Bakal",5,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4439,"Daang Bakal",6,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4440,"Daang Bakal",7,2026,"0.059","0","0.693","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4441,"Daang Bakal",8,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4442,"Daang Bakal",9,2026,"0.075","0","0.72","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4443,"Hagdang Bato Itaas",10,2025,"0.058","0","0.561","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4445,"Hagdang Bato Itaas",12,2025,"0.05","0","0.549","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4446,"Hagdang Bato Itaas",1,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4447,"Hagdang Bato Itaas",2,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4448,"Hagdang Bato Itaas",3,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4449,"Hagdang Bato Itaas",4,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4450,"Hagdang Bato Itaas",5,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4451,"Hagdang Bato Itaas",6,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4452,"Hagdang Bato Itaas",7,2026,"0.048","0","0.547","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4453,"Hagdang Bato Itaas",8,2026,"0.048","0","0.547","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4454,"Hagdang Bato Itaas",9,2026,"0.055","0","0.557","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4455,"Hagdang Bato Libis",10,2025,"0.093","0","0.385","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4457,"Hagdang Bato Libis",12,2025,"0.072","0","0.582","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4458,"Hagdang Bato Libis",1,2026,"0.062","0","0.567","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4459,"Hagdang Bato Libis",2,2026,"0.063","0","0.567","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4460,"Hagdang Bato Libis",3,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4461,"Hagdang Bato Libis",4,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
4462,"Hagdang Bato Libis",5,2026,"0.063","0","0.568","Very Low","false","""2025-10-27T01:52:22.325Z""",,"SARIMAX(1, 1, 1)x(1, 0, 1, 12)",95
